Creation Date;Origin;Destination;Topic;Description
Mon Nov 08 2021 00:04:37 GMT+0000 (Coordinated Universal Time);central-server;-;connect;Connected to MQTT broker
Mon Nov 08 2021 00:04:40 GMT+0000 (Coordinated Universal Time);client;central-server;req state;Requesting state of all ESPs
Mon Nov 08 2021 00:04:40 GMT+0000 (Coordinated Universal Time);central-server;client;state;Sending state of the ESPs
Mon Nov 08 2021 00:04:42 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:04:42 GMT+0000 (Coordinated Universal Time);client;central-server;req state;Requesting state of all ESPs
Mon Nov 08 2021 00:04:42 GMT+0000 (Coordinated Universal Time);central-server;client;state;Sending state of the ESPs
Mon Nov 08 2021 00:04:47 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:04:52 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:04:57 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:05:02 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:05:07 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:05:12 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:05:17 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:05:20 GMT+0000 (Coordinated Universal Time);client;central-server;req state;Requesting state of all ESPs
Mon Nov 08 2021 00:05:20 GMT+0000 (Coordinated Universal Time);central-server;client;state;Sending state of the ESPs
Mon Nov 08 2021 00:05:22 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:05:27 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:05:32 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:05:37 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:05:42 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:05:47 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:05:52 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:05:57 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:06:02 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:06:07 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:06:12 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:06:17 GMT+0000 (Coordinated Universal Time);esp;central-server;fse2021/180054848/dispositivos/b8:f0:09:cd:4a:3c;Received message on mqtt's topic
Mon Nov 08 2021 00:06:17 GMT+0000 (Coordinated Universal Time);central-server;-;register;Added ESP@b8:f0:09:cd:4a:3c as pending register
Mon Nov 08 2021 00:06:17 GMT+0000 (Coordinated Universal Time);central-server;client;state;Sending state of the ESPs
Mon Nov 08 2021 00:06:17 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:06:22 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:06:25 GMT+0000 (Coordinated Universal Time);client;central-server;register;Registering ESP@b8:f0:09:cd:4a:3c
Mon Nov 08 2021 00:06:25 GMT+0000 (Coordinated Universal Time);central-server;esp;register;Sending register message to ESP@b8:f0:09:cd:4a:3c
Mon Nov 08 2021 00:06:25 GMT+0000 (Coordinated Universal Time);central-server;client;state;Sending state of the ESPs
Mon Nov 08 2021 00:06:25 GMT+0000 (Coordinated Universal Time);esp;central-server;fse2021/180054848/dispositivos/b8:f0:09:cd:4a:3c;Received message on mqtt's topic
Mon Nov 08 2021 00:06:27 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:06:32 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:06:37 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:06:42 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:06:47 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:06:52 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:06:57 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:06:58 GMT+0000 (Coordinated Universal Time);esp;central-server;fse2021/180054848/dispositivos/b8:f0:09:cd:4a:3c;Received message on mqtt's topic
Mon Nov 08 2021 00:06:58 GMT+0000 (Coordinated Universal Time);central-server;-;register;Added ESP@b8:f0:09:cd:4a:3c as pending register
Mon Nov 08 2021 00:06:58 GMT+0000 (Coordinated Universal Time);central-server;client;state;Sending state of the ESPs
Mon Nov 08 2021 00:07:02 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:07:07 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:07:08 GMT+0000 (Coordinated Universal Time);client;central-server;register;Registering ESP@b8:f0:09:cd:4a:3c
Mon Nov 08 2021 00:07:08 GMT+0000 (Coordinated Universal Time);central-server;esp;register;Sending register message to ESP@b8:f0:09:cd:4a:3c
Mon Nov 08 2021 00:07:08 GMT+0000 (Coordinated Universal Time);central-server;client;state;Sending state of the ESPs
Mon Nov 08 2021 00:07:08 GMT+0000 (Coordinated Universal Time);esp;central-server;fse2021/180054848/dispositivos/b8:f0:09:cd:4a:3c;Received message on mqtt's topic
Mon Nov 08 2021 00:07:12 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:07:17 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:07:19 GMT+0000 (Coordinated Universal Time);esp;central-server;fse2021/180054848/1/temperatura;Received message on mqtt's topic
Mon Nov 08 2021 00:07:19 GMT+0000 (Coordinated Universal Time);esp;central-server;temperatura;Received temperatura from ESP in 1
Mon Nov 08 2021 00:07:19 GMT+0000 (Coordinated Universal Time);central-server;client;state;Sending state of the ESPs
Mon Nov 08 2021 00:07:19 GMT+0000 (Coordinated Universal Time);client;central-server;alarm;Alarm desactivated
Mon Nov 08 2021 00:07:19 GMT+0000 (Coordinated Universal Time);esp;central-server;fse2021/180054848/1/umidade;Received message on mqtt's topic
Mon Nov 08 2021 00:07:19 GMT+0000 (Coordinated Universal Time);esp;central-server;umidade;Received umidade from ESP in 1
Mon Nov 08 2021 00:07:19 GMT+0000 (Coordinated Universal Time);central-server;client;state;Sending state of the ESPs
Mon Nov 08 2021 00:07:22 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:07:27 GMT+0000 (Coordinated Universal Time);central-server;-;-;Checking ESPs Health
Mon Nov 08 2021 00:07:29 GMT+0000 (Coordinated Universal Time);esp;central-server;fse2021/180054848/1/temperatura;Received message on mqtt's topic
